Protein_ID,Pfam_Family,Score
P00519,SH2,86.40
P42684,SH2,88.20
P12931,SH2,97.60
P06241,SH2,100.90
P07947,SH2,98.60
Q06187,SH2,77.90
P43403,SH2,145.90
P43405,SH2,154.60
P62993,SH3_1,122.40
P01112,Ras,204.80
P01116,Ras,205.30
P01111,Ras,202.10
P04049,No hit,
P31749,No hit,
P28482,No hit,
P27361,No hit,
P00533,No hit,
P21802,No hit,
P16234,No hit,
P12956,No hit,
P29353,SH2,66.10
P42681,SH2,85.30
P35222,No hit,
P62937,No hit,
P29317,No hit,
P08047,zf-C2H2,44.50
P15056,No hit,
P40763,SH2,40.00
P42224,SH2,35.10
P15924,No hit,
P10242,Myb_DNA-binding,193.80
P19838,Ank,97.70
P11473,No hit,
P61244,No hit,
Q9Y2T1,No hit,
P08107,No hit,
P0A6Y8,HSP70,909.00
P0A6W5,No hit,
P0A9Q7,Aldedh,102.40
P0A799,No hit,
P0A7Y4,No hit,
P0A8V2,No hit,
P39451,No hit,
P11142,HSP70,880.60
P13569,ABC_tran,193.70
P22681,No hit,
P98160,EGF,37.50
P12814,No hit,
Q92793,No hit,
Q13485,No hit,
